区划代码    区县  地级市 省级  上级代码    历史代码    经度  纬度  电话区号    邮编  占地面积    人口总数    政府网址    政府地址
110000  北京  北京  北京  100000  *   116.405285  39.904989   010 100000  17000   1300    http://www.beijing.gov.cn/  北京市东城区正义路2号
110101  东城区 北京  北京  110000  *   116.41005   39.93157    010 100000  42  97  http://www.bjdch.gov.cn/    北京市东城区育群胡同6号
110102  西城区 北京  北京  110000  *   116.36003   39.9305 010 100000  51  139 http://www.bjxch.gov.cn/    北京市西城区二龙路27号
110105  朝阳区 北京  北京  110000  *   116.48548   39.9484 010 100000  455 198 http://www.bjchy.gov.cn/    北京市朝阳区日坛北街33号
110106  丰台区 北京  北京  110000  *   116.28625   39.8585 010 100000  306 110 http://www.bjft.gov.cn/ 北京市丰台区文体路2号
110107  石景山区    北京  北京  110000  *   116.2229    39.90564    010 100000  84  37  http://www.bjsjs.gov.cn/    北京市石景山区石景山路18号
110108  海淀区 北京  北京  110000  *   116.29812   39.95931    010 100000  431 232 http://www.bjhd.gov.cn/ 北京市海淀区长春桥路17号
110109  门头沟区    北京  北京  110000  *   116.10137   39.94043    010 102300  1451    25  http://www.bjmtg.gov.cn/    北京市门头沟区新桥大街36号
110111  房山区 北京  北京  110000  *   116.14257   39.74786    010 102400  1990    78  http://www.bjfsh.gov.cn/    北京市房山区政通路1号
110112  通州区 北京  北京  110000  *   116.65716   39.90966    010 101100  906 68  http://www.bjtzh.gov.cn/    北京市通州区新华北街161号
110113  顺义区 北京  北京  110000  *   116.65417   40.1302 010 101300  1020    59  http://www.bjshy.gov.cn/    北京市顺义区府前中街5号
110114  昌平区 北京  北京  110000  *   116.2312    40.22072    010 102200  1344    56  http://www.bjchp.gov.cn/    北京市昌平区政府街19号
110115  大兴区 北京  北京  110000  *   116.34149   39.72668    010 102600  1036    62  http://www.bjdx.gov.cn/ 北京市大兴区兴政街15号
110116  怀柔区 北京  北京  110000  *   116.63168   40.31602    010 101400  2123    28  http://www.bjhr.gov.cn/ 北京市怀柔区府前街15号
110117  平谷区 北京  北京  110000  *   117.12133   40.14056    010 101200  950 40  http://www.bjpg.gov.cn/ 北京市平谷区府前街7号
110228  密云区 北京  北京  110000  110228  116.84295   40.37618    010 101500  2229    43  http://www.bjmy.gov.cn/ 北京市密云区鼓楼西大街3号
110229  延庆区 北京  北京  110000  110229  115.97494   40.45672    010 102100  1994    28  http://www.bjyq.gov.cn/ 北京市延庆区湖北西路1号
120000  天津  天津  天津  100000  *   117.190182  39.125596   022 300000  12000   996 http://www.tj.gov.cn/   天津市河西区友谊路30号
120101  和平区 天津  天津  120000  *   117.21456   39.11718    022 300000  10  40  http://www.tjhp.gov.cn/ 天津市和平区曲阜道81号
120102  河东区 天津  天津  120000  *   117.22562   39.12318    022 300000  39  74  http://www.tjhd.gov.cn/ 天津市河东区泰兴南路32号
120103  河西区 天津  天津  120000  *   117.22327   39.10959    022 300000  37  80  http://www.tjhexi.gov.cn/   天津市河西区绍兴道4号
120104  南开区 天津  天津  120000  *   117.15074   39.13821    022 300000  39  85  http://www.tjnk.gov.cn/ 天津市南开区黄河道390号
120105  河北区 天津  天津  120000  *   117.19697   39.14816    022 300000  27  62  http://www.tjhbq.gov.cn/    天津市河北区狮子林大街284号
120106  红桥区 天津  天津  120000  *   117.15145   39.16715    022 300000  21  52  http://www.tjhqqzf.gov.cn/  天津市红桥区勤俭道202号
120110  东丽区 天津  天津  120000  *   117.31436   39.0863 022 300000  460 36  http://www.dlnet.gov.cn/    天津市东丽区跃进路38号
120111  西青区 天津  天津  120000  *   117.00927   39.14123    022 300000  545 38  http://www.xq.gov.cn/   天津市西青区府前街2号
120112  津南区 天津  天津  120000  *   117.38537   38.99139    022 300000  401 42  http://www.tjjn.gov.cn/ 天津市津南区津沽路186号
120113  北辰区 天津  天津  120000  *   117.13217   39.22131    022 300000  478 38  http://www.tjbc.gov.cn/ 天津市北辰区京津公路370号
120114  武清区 天津  天津  120000  *   117.04443   39.38415    022 301700  1570    86  http://www.tjwq.gov.cn/ 天津市武清区雍阳西道118号
